2019-01-20 11:21:55,201 charges_calc.py:104 DEBUG Program arguments: input file = source.json, output file = output.json, debug level = 3
2019-01-20 11:21:55,201 charges_calc.py:56  DEBUG Reading data from file: source.json
2019-01-20 11:21:55,201 charges_calc.py:70  DEBUG Calculating new data.
2019-01-20 11:21:55,201 charges_calc.py:76  WARNING Rental start date is after rental end date.
2019-01-20 11:21:55,201 charges_calc.py:83  ERROR Bad data in file. Skipping data: {'product_code': 'PRD80', 'units_rented': 8, 'price_per_day': 31, 'rental_start': '6/12/17', 'rental_end': '3/22/17'}
2019-01-20 11:21:55,201 charges_calc.py:76  WARNING Rental start date is after rental end date.
2019-01-20 11:21:55,201 charges_calc.py:83  ERROR Bad data in file. Skipping data: {'product_code': 'PRD51', 'units_rented': 8, 'price_per_day': 20, 'rental_start': '8/26/18', 'rental_end': '7/29/18'}
2019-01-20 11:21:55,217 charges_calc.py:76  WARNING Rental start date is after rental end date.
2019-01-20 11:21:55,217 charges_calc.py:83  ERROR Bad data in file. Skipping data: {'product_code': 'PRD42', 'units_rented': 1, 'price_per_day': 16, 'rental_start': '7/10/17', 'rental_end': '5/31/17'}
2019-01-20 11:21:55,217 charges_calc.py:76  WARNING Rental start date is after rental end date.
2019-01-20 11:21:55,217 charges_calc.py:83  ERROR Bad data in file. Skipping data: {'product_code': 'PRD32', 'units_rented': 3, 'price_per_day': 12, 'rental_start': '10/25/18', 'rental_end': '7/4/18'}
2019-01-20 11:21:55,217 charges_calc.py:76  WARNING Rental start date is after rental end date.
2019-01-20 11:21:55,217 charges_calc.py:83  ERROR Bad data in file. Skipping data: {'product_code': 'PRD13', 'units_rented': 9, 'price_per_day': 6, 'rental_start': '11/3/18', 'rental_end': '7/28/16'}
2019-01-20 11:21:55,217 charges_calc.py:76  WARNING Rental start date is after rental end date.
2019-01-20 11:21:55,217 charges_calc.py:83  ERROR Bad data in file. Skipping data: {'product_code': 'PRD22', 'units_rented': 6, 'price_per_day': 27, 'rental_start': '3/15/18', 'rental_end': '8/27/17'}
2019-01-20 11:21:55,217 charges_calc.py:76  WARNING Rental start date is after rental end date.
2019-01-20 11:21:55,217 charges_calc.py:83  ERROR Bad data in file. Skipping data: {'product_code': 'PRD17', 'units_rented': 7, 'price_per_day': 26, 'rental_start': '9/29/17', 'rental_end': '4/29/16'}
2019-01-20 11:21:55,217 charges_calc.py:76  WARNING Rental start date is after rental end date.
