parelleldata% stats
Sat Mar  2 12:44:56 2019    parelleldata

         12017511 function calls (11895731 primitive calls) in 25.282 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    164/1    0.002    0.000   25.282   25.282 {built-in method builtins.exec}
        1    0.000    0.000   25.282   25.282 hpnorton_products/parallel_database.py:3(<module>)
        1    0.000    0.000   24.959   24.959 hpnorton_products/parallel_database.py:46(import_data)
        1    0.000    0.000   24.959   24.959 D:\Python_3.7.0\lib\asyncio\base_events.py:533(run_until_complete)
        1    0.010    0.010   24.959   24.959 D:\Python_3.7.0\lib\asyncio\base_events.py:506(run_forever)
    10004    0.118    0.000   24.949    0.002 D:\Python_3.7.0\lib\asyncio\base_events.py:1662(_run_once)
    30006    0.048    0.000   24.645    0.001 D:\Python_3.7.0\lib\asyncio\events.py:86(_run)
    30006    0.188    0.000   24.597    0.001 {method 'run' of 'Context' objects}
    29997    0.207    0.000   19.135    0.001 D:\Python_3.7.0\lib\site-packages\pymongo\collection.py:646(insert_one)
    29997    0.083    0.000   18.307    0.001 D:\Python_3.7.0\lib\site-packages\pymongo\collection.py:600(_insert)
    29997    0.241    0.000   18.188    0.001 D:\Python_3.7.0\lib\site-packages\pymongo\collection.py:551(_insert_one)
    29997    0.113    0.000   17.438    0.001 D:\Python_3.7.0\lib\site-packages\pymongo\mongo_client.py:1245(_retryable_write)
    29997    0.222    0.000   16.115    0.001 D:\Python_3.7.0\lib\site-packages\pymongo\mongo_client.py:1164(_retry_with_session)
    29997    0.109    0.000   13.295    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\collection.py:570(_insert_command)
    30000    0.244    0.000   13.188    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\pool.py:504(command)
    30000    0.375    0.000   12.573    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\network.py:52(command)
    10000    0.145    0.000    8.175    0.001 hpnorton_products/parallel_database.py:97(processcustomerfile)
    10000    0.133    0.000    8.032    0.001 hpnorton_products/parallel_database.py:57(processproductfile)
    10000    0.138    0.000    8.017    0.001 hpnorton_products/parallel_database.py:142(processrentalfile)
    30000    0.178    0.000    7.027    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\network.py:169(receive_message)
    60000    0.277    0.000    6.608    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\network.py:226(_receive_data_on_socket)
    60000    6.332    0.000    6.332    0.000 {method 'recv_into' of '_socket.socket' objects}
    30001    0.085    0.000    3.731    0.000 D:\Python_3.7.0\lib\logging\__init__.py:1322(info)
    30001    0.078    0.000    3.627    0.000 D:\Python_3.7.0\lib\logging\__init__.py:1445(_log)
    30000    3.223    0.000    3.223    0.000 {method 'sendall' of '_socket.socket' objects}
239996/179997    0.124    0.000    2.318    0.000 {built-in method builtins.next}
    30001    0.039    0.000    2.177    0.000 D:\Python_3.7.0\lib\logging\__init__.py:1470(handle)
    30001    0.081    0.000    2.118    0.000 D:\Python_3.7.0\lib\logging\__init__.py:1524(callHandlers)
    30001    0.060    0.000    2.037    0.000 D:\Python_3.7.0\lib\logging\__init__.py:841(handle)
    30001    0.043    0.000    1.917    0.000 D:\Python_3.7.0\lib\logging\__init__.py:1072(emit)
    30001    0.079    0.000    1.873    0.000 D:\Python_3.7.0\lib\logging\__init__.py:971(emit)
    29999    0.171    0.000    1.351    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\message.py:657(_op_msg)
89997/59998    0.078    0.000    1.270    0.000 D:\Python_3.7.0\lib\contextlib.py:107(__enter__)
    59998    0.091    0.000    1.185    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\mongo_client.py:1055(_get_socket)
89997/59998    0.115    0.000    1.136    0.000 D:\Python_3.7.0\lib\contextlib.py:116(__exit__)
    30001    0.051    0.000    1.068    0.000 D:\Python_3.7.0\lib\logging\__init__.py:1430(makeRecord)
    59998    0.079    0.000    1.027    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\mongo_client.py:1568(_tmp_session)
    30001    0.333    0.000    1.017    0.000 D:\Python_3.7.0\lib\logging\__init__.py:244(__init__)
    59998    0.071    0.000    0.896    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\pool.py:979(get_socket)
    29999    0.764    0.000    0.888    0.000 {built-in method pymongo._cmessage._op_msg}
    30001    0.037    0.000    0.845    0.000 D:\Python_3.7.0\lib\logging\__init__.py:818(format)
    30001    0.090    0.000    0.808    0.000 D:\Python_3.7.0\lib\logging\__init__.py:556(format)
    29999    0.036    0.000    0.748    0.000 D:\Python_3.7.0\lib\site-packages\pymongo\database.py:237(__getattr__)
    30001    0.066    0.000    0.739    0.000 D:\Python_3.7.0\lib\logging\__init__.py:960(flush)
