2019-01-26 10:32:56,844 charges_calc.py:109 INFO called load_rentals_file function
2019-01-26 10:32:56,844 charges_calc.py:63  INFO load json file into data
2019-01-26 10:32:56,844 charges_calc.py:111 INFO called calculate_additional_fields function
2019-01-26 10:32:56,844 charges_calc.py:86  ERROR The rental end date 2017-03-22 00:00:00 is earlier than the rental start date 2017-06-12 00:00:00,                which would resulte in negative number of renting days. This issue is handled
2019-01-26 10:32:56,844 charges_calc.py:78  WARNING if the renting days is less than 0, it would cause error
2019-01-26 10:32:56,844 charges_calc.py:78  WARNING if the renting days is less than 0, it would cause error
2019-01-26 10:32:56,844 charges_calc.py:78  WARNING if the renting days is less than 0, it would cause error
2019-01-26 10:32:56,844 charges_calc.py:78  WARNING if the renting days is less than 0, it would cause error
2019-01-26 10:32:56,844 charges_calc.py:86  ERROR The rental end date 2018-07-29 00:00:00 is earlier than the rental start date 2018-08-26 00:00:00,                which would resulte in negative number of renting days. This issue is handled
2019-01-26 10:32:56,844 charges_calc.py:86  ERROR The rental end date 2017-05-31 00:00:00 is earlier than the rental start date 2017-07-10 00:00:00,                which would resulte in negative number of renting days. This issue is handled
2019-01-26 10:32:56,844 charges_calc.py:86  ERROR The rental end date 2018-07-04 00:00:00 is earlier than the rental start date 2018-10-25 00:00:00,                which would resulte in negative number of renting days. This issue is handled
2019-01-26 10:32:56,844 charges_calc.py:86  ERROR The rental end date 2016-07-28 00:00:00 is earlier than the rental start date 2018-11-03 00:00:00,                which would resulte in negative number of renting days. This issue is handled
2019-01-26 10:32:56,860 charges_calc.py:86  ERROR The rental end date 2017-08-27 00:00:00 is earlier than the rental start date 2018-03-15 00:00:00,                which would resulte in negative number of renting days. This issue is handled
2019-01-26 10:32:56,860 charges_calc.py:86  ERROR The rental end date 2016-04-29 00:00:00 is earlier than the rental start date 2017-09-29 00:00:00,                which would resulte in negative number of renting days. This issue is handled
2019-01-26 10:32:56,860 charges_calc.py:86  ERROR The rental end date 2016-01-15 00:00:00 is earlier than the rental start date 2017-10-24 00:00:00,                which would resulte in negative number of renting days. This issue is handled
2019-01-26 10:32:56,860 charges_calc.py:78  WARNING if the renting days is less than 0, it would cause error
2019-01-26 10:32:56,860 charges_calc.py:86  ERROR The rental end date 2016-07-30 00:00:00 is earlier than the rental start date 2017-01-30 00:00:00,                which would resulte in negative number of renting days. This issue is handled
2019-01-26 10:32:56,860 charges_calc.py:78  WARNING if the renting days is less than 0, it would cause error
2019-01-26 10:32:56,860 charges_calc.py:86  ERROR The rental end date 2016-02-05 00:00:00 is earlier than the rental start date 2018-06-18 00:00:00,                which would resulte in negative number of renting days. This issue is handled
2019-01-26 10:32:56,860 charges_calc.py:86  ERROR The rental end date 2018-04-11 00:00:00 is earlier than the rental start date 2018-04-28 00:00:00,                which would resulte in negative number of renting days. This issue is handled
2019-01-26 10:32:56,860 charges_calc.py:86  ERROR The rental end date 2016-01-13 00:00:00 is earlier than the rental start date 2016-08-16 00:00:00,                which would resulte in negative number of renting days. This issue is handled
2019-01-26 10:32:56,860 charges_calc.py:86  ERROR The rental end date 2016-05-10 00:00:00 is earlier than the rental start date 2017-12-16 00:00:00,                which would resulte in negative number of renting days. This issue is handled
2019-01-26 10:32:56,860 charges_calc.py:86  ERROR The rental end date 2016-01-12 00:00:00 is earlier than the rental start date 2018-06-20 00:00:00,                which would resulte in negative number of renting days. This issue is handled
2019-01-26 10:32:56,860 charges_calc.py:86  ERROR The rental end date 2016-02-09 00:00:00 is earlier than the rental start date 2017-08-31 00:00:00,                which would resulte in negative number of renting days. This issue is handled
2019-01-26 10:32:56,860 charges_calc.py:78  WARNING if the renting days is less than 0, it would cause error
2019-01-26 10:32:56,860 charges_calc.py:78  WARNING if the renting days is less than 0, it would cause error
2019-01-26 10:32:56,860 charges_calc.py:78  WARNING if the renting days is less than 0, it would cause error
2019-01-26 10:32:56,860 charges_calc.py:86  ERROR The rental end date 2016-05-28 00:00:00 is earlier than the rental start date 2018-03-02 00:00:00,                which would resulte in negative number of renting days. This issue is handled
2019-01-26 10:32:56,860 charges_calc.py:86  ERROR The rental end date 2016-04-21 00:00:00 is earlier than the rental start date 2018-03-27 00:00:00,                which would resulte in negative number of renting days. This issue is handled
2019-01-26 10:32:56,860 charges_calc.py:78  WARNING if the renting days is less than 0, it would cause error
2019-01-26 10:32:56,860 charges_calc.py:86  ERROR The rental end date 2017-05-06 00:00:00 is earlier than the rental start date 2018-07-06 00:00:00,                which would resulte in negative number of renting days. This issue is handled
2019-01-26 10:32:56,860 charges_calc.py:78  WARNING if the renting days is less than 0, it would cause error
2019-01-26 10:32:56,860 charges_calc.py:86  ERROR The rental end date 2017-04-18 00:00:00 is earlier than the rental start date 2017-07-01 00:00:00,                which would resulte in negative number of renting days. This issue is handled
2019-01-26 10:32:56,860 charges_calc.py:86  ERROR The rental end date 2017-04-13 00:00:00 is earlier than the rental start date 2018-04-18 00:00:00,                which would resulte in negative number of renting days. This issue is handled
2019-01-26 10:32:56,860 charges_calc.py:78  WARNING if the renting days is less than 0, it would cause error
2019-01-26 10:32:56,860 charges_calc.py:78  WARNING if the renting days is less than 0, it would cause error
2019-01-26 10:32:56,860 charges_calc.py:86  ERROR The rental end date 2016-04-03 00:00:00 is earlier than the rental start date 2017-10-11 00:00:00,                which would resulte in negative number of renting days. This issue is handled
2019-01-26 10:32:56,860 charges_calc.py:78  WARNING if the renting days is less than 0, it would cause error
2019-01-26 10:32:56,860 charges_calc.py:78  WARNING if the renting days is less than 0, it would cause error
2019-01-26 10:32:56,860 charges_calc.py:78  WARNING if the renting days is less than 0, it would cause error
2019-01-26 10:32:56,860 charges_calc.py:78  WARNING if the renting days is less than 0, it would cause error
2019-01-26 10:32:56,860 charges_calc.py:78  WARNING if the renting days is less than 0, it would cause error
2019-01-26 10:32:56,860 charges_calc.py:86  ERROR The rental end date 2016-12-30 00:00:00 is earlier than the rental start date 2017-12-01 00:00:00,                which would resulte in negative number of renting days. This issue is handled
2019-01-26 10:32:56,860 charges_calc.py:86  ERROR The rental end date 2017-03-30 00:00:00 is earlier than the rental start date 2018-02-19 00:00:00,                which would resulte in negative number of renting days. This issue is handled
2019-01-26 10:32:56,860 charges_calc.py:78  WARNING if the renting days is less than 0, it would cause error
2019-01-26 10:32:56,860 charges_calc.py:78  WARNING if the renting days is less than 0, it would cause error
2019-01-26 10:32:56,860 charges_calc.py:86  ERROR The rental end date 2016-12-19 00:00:00 is earlier than the rental start date 2018-09-04 00:00:00,                which would resulte in negative number of renting days. This issue is handled
2019-01-26 10:32:56,860 charges_calc.py:86  ERROR The rental end date 2018-11-12 00:00:00 is earlier than the rental start date 2018-12-19 00:00:00,                which would resulte in negative number of renting days. This issue is handled
2019-01-26 10:32:56,860 charges_calc.py:86  ERROR The rental end date 2018-01-08 00:00:00 is earlier than the rental start date 2018-10-15 00:00:00,                which would resulte in negative number of renting days. This issue is handled
2019-01-26 10:32:56,860 charges_calc.py:86  ERROR The rental end date 2016-06-24 00:00:00 is earlier than the rental start date 2018-08-03 00:00:00,                which would resulte in negative number of renting days. This issue is handled
2019-01-26 10:32:56,860 charges_calc.py:86  ERROR The rental end date 2016-10-28 00:00:00 is earlier than the rental start date 2017-09-05 00:00:00,                which would resulte in negative number of renting days. This issue is handled
2019-01-26 10:32:56,860 charges_calc.py:78  WARNING if the renting days is less than 0, it would cause error
2019-01-26 10:32:56,860 charges_calc.py:86  ERROR The rental end date 2017-06-30 00:00:00 is earlier than the rental start date 2018-12-06 00:00:00,                which would resulte in negative number of renting days. This issue is handled
2019-01-26 10:32:56,876 charges_calc.py:78  WARNING if the renting days is less than 0, it would cause error
2019-01-26 10:32:56,876 charges_calc.py:78  WARNING if the renting days is less than 0, it would cause error
2019-01-26 10:32:56,876 charges_calc.py:78  WARNING if the renting days is less than 0, it would cause error
2019-01-26 10:32:56,876 charges_calc.py:78  WARNING if the renting days is less than 0, it would cause error
2019-01-26 10:32:56,876 charges_calc.py:78  WARNING if the renting days is less than 0, it would cause error
2019-01-26 10:32:56,876 charges_calc.py:86  ERROR The rental end date 2016-02-27 00:00:00 is earlier than the rental start date 2018-04-12 00:00:00,                which would resulte in negative number of renting days. This issue is handled
2019-01-26 10:32:56,876 charges_calc.py:78  WARNING if the renting days is less than 0, it would cause error
2019-01-26 10:32:56,876 charges_calc.py:86  ERROR The rental end date 2017-01-25 00:00:00 is earlier than the rental start date 2017-07-14 00:00:00,                which would resulte in negative number of renting days. This issue is handled
2019-01-26 10:32:56,876 charges_calc.py:78  WARNING if the renting days is less than 0, it would cause error
2019-01-26 10:32:56,876 charges_calc.py:86  ERROR The rental end date 2016-01-18 00:00:00 is earlier than the rental start date 2016-02-15 00:00:00,                which would resulte in negative number of renting days. This issue is handled
2019-01-26 10:32:56,876 charges_calc.py:86  ERROR The rental end date 2017-02-28 00:00:00 is earlier than the rental start date 2018-02-12 00:00:00,                which would resulte in negative number of renting days. This issue is handled
2019-01-26 10:32:56,876 charges_calc.py:86  ERROR The rental end date 2018-06-03 00:00:00 is earlier than the rental start date 2018-08-25 00:00:00,                which would resulte in negative number of renting days. This issue is handled
2019-01-26 10:32:56,876 charges_calc.py:78  WARNING if the renting days is less than 0, it would cause error
2019-01-26 10:32:56,876 charges_calc.py:78  WARNING if the renting days is less than 0, it would cause error
2019-01-26 10:32:56,876 charges_calc.py:86  ERROR The rental end date 2016-12-12 00:00:00 is earlier than the rental start date 2018-10-11 00:00:00,                which would resulte in negative number of renting days. This issue is handled
2019-01-26 10:32:56,876 charges_calc.py:78  WARNING if the renting days is less than 0, it would cause error
2019-01-26 10:32:56,876 charges_calc.py:86  ERROR The rental end date 2017-10-18 00:00:00 is earlier than the rental start date 2018-01-18 00:00:00,                which would resulte in negative number of renting days. This issue is handled
2019-01-26 10:32:56,876 charges_calc.py:78  WARNING if the renting days is less than 0, it would cause error
2019-01-26 10:32:56,876 charges_calc.py:78  WARNING if the renting days is less than 0, it would cause error
